Mark,Competitor,Nat,Location,Discipline,Date,Results Score
1:45.35,MOHAMED ALI GOUANED,ALG,"Arena Stade Couvert, Liévin (FRA) (i)",800m,10 FEB 2024,1221
1:45.35,ABDELATI EL GUESSE,MAR,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1163
1:45.35,EDMUND DU PLESSIS,RSA,"McArthur Stadium, Potchefstroom (RSA)",800m,11 MAY 2024,1163
1:45.35,JAKE WIGHTMAN,GBR,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1163
1:45.35,JOSH HOEY,USA,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1163
1:45.35,MAX BURGIN,GBR,"Woodside Stadium, Watford (GBR)",800m,10 JUL 2024,1163
1:45.36,ÁLVARO DE ARRIBA,ESP,"Stade des Grands Pêchers, Montreuil (FRA)",800m,16 MAY 2024,1162
1:45.36,CALLUM DODDS,GBR,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1162
1:45.36,SHANE COHEN,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",800m,24 MAY 2024,1162
1:45.36,HANDAL ROBAN,VIN,"Franklin Field, Philadelphia, PA (USA)",800m,29 JUN 2024,1162
1:45.37,ELIAS NGENY,KEN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1162
1:45.37,DANIEL ROWDEN,GBR,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1162
1:45.38,CLAYTON MURPHY,USA,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1162
1:45.38,RAMON WIPFLI,SUI,"Bungertstadion, Rehlingen (GER)",800m,19 MAY 2024,1162
1:45.39,JESUS TONATIU LOPEZ,MEX,"Mike A. Myers Stadium, Austin, TX (USA)",800m,28 MAR 2024,1162
1:45.39,SAÚL ORDÓÑEZ,ESP,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1162
1:45.40,NICHOLAS KIPLANGAT KEBENEI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1161
1:45.40,MATEUSZ BORKOWSKI,POL,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1161
1:45.40,CATALIN TECUCEANU,ITA,"Stadio Olimpico, Roma (ITA)",800m,09 JUN 2024,1161
1:45.40,ELIOTT CRESTAN,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",800m,15 JUN 2024,1161
1:45.40,LUKE BOYES,AUS,"Stade Adolphe Cheron, St-Maur (FRA)",800m,26 JUN 2024,1161
1:45.40,DARIUS KIPYEGO,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1161
1:45.40,EDMUND DU PLESSIS,RSA,"Munster Technological University Track, Cork (IRL)",800m,09 JUL 2024,1161
1:45.41,PEYTON CRAIG,AUS,"SA Athletic Stadium, Adelaide (AUS)",800m,10 FEB 2024,1161
1:45.41,ISAIAH JEWETT,USA,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1161
1:45.42,EBRAHIM ALZOFAIRI,KUW,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1161
1:45.43,FITHAWI ZAID,ERI,"Atletiekbaan Brakkenstein, Nijmegen (NED)",800m,18 MAY 2024,1160
1:45.44,PAUL ANSELMINI,FRA,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1160
1:45.45,ABDELATI EL GUESSE,MAR,"Glasgow Arena, Glasgow (GBR) (i)",800m,02 MAR 2024,1217
1:45.45,LUKE BOYES,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",800m,28 MAR 2024,1160
1:45.45,OUSSAMA CHERRAD,ALG,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1160
1:45.45,BARTOSZ KITLIŃSKI,POL,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1160
1:45.45,PAUL ANSELMINI,FRA,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1160
1:45.45,GENERAL BERHANU AYANSA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",800m,14 JUN 2024,1160
1:45.46,NICHOLAS KIPLANGAT KEBENEI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,22 MAY 2024,1159
1:45.46,THOMAS RANDOLPH,GBR,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1159
1:45.47,OUSSAMA CHERRAD,ALG,"McArthur Stadium, Potchefstroom (RSA)",800m,14 MAR 2024,1159
1:45.47,YANIS MEZIANE,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1159
1:45.48,CAMDEN MARSHALL,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",800m,24 MAY 2024,1159
1:45.48,DANIEL ROWDEN,GBR,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1159
1:45.49,MOHAMED ATTAOUI,ESP,"Halle Stéphane Diagana, Lyon (FRA) (i)",800m,09 FEB 2024,1216
1:45.49,EDMUND DU PLESSIS,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",800m,18 MAR 2024,1159
1:45.49,GUY LEARMONTH,GBR,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1159
1:45.49,PAUL ANSELMINI,FRA,"Stade Adolphe Cheron, St-Maur (FRA)",800m,26 JUN 2024,1159
1:45.49,BEN PATTISON,GBR,"Manchester Regional Arena, Manchester (GBR)",800m,30 JUN 2024,1159
1:45.49,ABRAHAM ALVARADO,USA,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1159
1:45.49,THOMAS MARQUES DE ANDRADE,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,20 JUL 2024,1159
1:45.50,MARCO AROP,CAN,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",800m,27 JAN 2024,1216
1:45.50,MARIANO GARCÍA,ESP,"Arena Stade Couvert, Liévin (FRA) (i)",800m,10 FEB 2024,1216
1:45.50,JAMES PRESTON,NZL,"SA Athletic Stadium, Adelaide (AUS)",800m,10 FEB 2024,1158
1:45.50,REECE SHARMAN-NEWELL,GBR,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1158
1:45.50,TOBIAS GRØNSTAD,NOR,"Bungertstadion, Rehlingen (GER)",800m,19 MAY 2024,1158
1:45.50,JOSH HOEY,USA,"Munster Technological University Track, Cork (IRL)",800m,09 JUL 2024,1158
1:45.51,JESUS TONATIU LOPEZ,MEX,"Hilmer Lodge Stadium, Walnut, CA (USA)",800m,20 APR 2024,1158
1:45.51,HEITHEM CHENITEF,ALG,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1158
1:45.52,MAX BURGIN,GBR,"Manchester Regional Arena, Manchester (GBR)",800m,29 JUN 2024,1158
1:45.53,KETHOBOGILE HAINGURA,BOT,"Pilditch Stadium, Pretoria (RSA)",800m,02 MAR 2024,1157
1:45.53,ETHAN HUSSEY,GBR,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1157
1:45.53,LUKE BOYES,AUS,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1157
1:45.53,ELVIN JOSUÉ CANALES,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,30 JUN 2024,1157
1:45.54,BRYCE HOPPEL,USA,"Armory Track&Field Center, New York, NY (USA) (i)",800m,11 FEB 2024,1215
1:45.54,JOSH HOEY,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,30 MAR 2024,1157
1:45.54,ANICET KOZAR,FRA,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1157
1:45.54,KETHOBOGILE HAINGURA,BOT,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,23 JUN 2024,1157
1:45.55,ETHAN HUSSEY,GBR,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1157
1:45.55,OLE JAKOB SOLBU,NOR,"Mary Peters Track, Belfast (GBR)",800m,11 MAY 2024,1157
1:45.55,JOSE MAITA,VEN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",800m,11 MAY 2024,1157
1:45.55,ADRIÁN BEN,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,30 JUN 2024,1157
1:45.56,TSHEPISO MASALELA,BOT,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",800m,03 FEB 2024,1214
1:45.57,ABEL KIPSANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1156
1:45.57,TOMMASO MANISCALCO,ITA,"Campo Sportivo G. Draghicchio, Trieste (ITA)",800m,22 JUN 2024,1156
1:45.58,EDMUND DU PLESSIS,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",800m,18 APR 2024,1156
1:45.58,ELVIN JOSUÉ CANALES,HON,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",800m,22 MAY 2024,1156
1:45.58,TIARNAN CRORKEN,GBR,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1156
1:45.58,THOMAS RANDOLPH,GBR,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1156
1:45.59,BRAD MATHAS,NZL,"Stade Colette Besson, Dijon (FRA)",800m,05 JUN 2024,1156
1:45.59,OLE JAKOB SOLBU,NOR,"Stadio Olimpico, Roma (ITA)",800m,08 JUN 2024,1156
1:45.59,ALEX NGENO KIPNGETICH,KEN,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,22 JUN 2024,1156
1:45.59,ROBERT DOWNS,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,19 JUL 2024,1156
1:45.60,TIARNAN CRORKEN,GBR,"Mary Peters Track, Belfast (GBR)",800m,11 MAY 2024,1155
1:45.60,SAMUEL CHAPPLE,NED,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1155
1:45.61,FRANCESCO PERNICI,ITA,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1155
1:45.61,ANDREAS KRAMER,SWE,"Sollentunavallen, Sollentuna (SWE)",800m,16 JUN 2024,1155
1:45.62,ABRAHAM ALVARADO,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1155
1:45.62,BRAD MATHAS,NZL,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1155
1:45.62,ANICET KOZAR,FRA,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1155
1:45.62,JAVIER MIRON,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1155
1:45.62,BRANNON KIDDER,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1155
1:45.63,COLIN SAHLMAN,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",800m,27 APR 2024,1154
1:45.63,ALEX BOTTERILL,GBR,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1154
1:45.63,PIETER SISK,BEL,"Atletiekbaan Brakkenstein, Nijmegen (NED)",800m,18 MAY 2024,1154
1:45.63,COLE HOCKER,USA,"Lincoln HS, Portland, OR (USA)",800m,09 JUN 2024,1154
1:45.63,SAMUEL CHAPPLE,NED,"FBK Stadium, Hengelo (NED)",800m,29 JUN 2024,1154
1:45.64,ÁLVARO DE ARRIBA,ESP,"Stadio Olimpico, Roma (ITA)",800m,09 JUN 2024,1154
1:45.64,BARTOSZ KITLIŃSKI,POL,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1154
1:45.65,ABDELATI EL GUESSE,MAR,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1154
1:45.65,JOSH HOEY,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1154
1:45.65,TIMOTHY CHERUIYOT,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,22 MAY 2024,1154
1:45.66,DEZHU LIU,CHN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1153
1:45.66,FINLEY MCLEAR,GBR,"Hayward Field, Eugene, OR (USA)",800m,07 JUN 2024,1153
1:45.66,MACIEJ WYDERKA,POL,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1153
1:45.66,VINCENT CRISP,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1153
1:45.67,MOHAMED ATTAOUI,ESP,"Gallur, Madrid (ESP) (i)",800m,23 FEB 2024,1211
1:45.67,FILIP RAK,POL,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1153
1:45.68,MOHAMED ATTAOUI,ESP,"Glasgow Arena, Glasgow (GBR) (i)",800m,02 MAR 2024,1210
1:45.69,OUSSAMA EL BOUCHAYBY,MAR,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",800m,24 MAY 2024,1152
1:45.69,RUBEN VERHEYDEN,BEL,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1152
1:45.69,GABRIEL TUAL,FRA,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1152
1:45.70,BENJAMIN ROBERT,FRA,"Arena Stade Couvert, Liévin (FRA) (i)",800m,10 FEB 2024,1210
1:45.70,ABDELATI EL GUESSE,MAR,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1152
1:45.70,TAREES RHODEN,JAM,"Hayward Field, Eugene, OR (USA)",800m,07 JUN 2024,1152
1:45.70,THOMAS MARQUES DE ANDRADE,FRA,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1152
1:45.70,ANDREAS KRAMER,SWE,"Stadio Olimpico, Roma (ITA)",800m,09 JUN 2024,1152
1:45.70,TINODA MATSATSA,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1152
1:45.70,CORENTIN MAGNOU,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,20 JUL 2024,1152
1:45.71,TAREES RHODEN,JAM,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",800m,24 MAY 2024,1152
1:45.71,FERGUSON CHERUIYOT ROTICH,KEN,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1152
1:45.71,CASS ELLIOTT,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,19 JUL 2024,1152
1:45.72,KOITATOI KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,26 JAN 2024,1152
1:45.72,ADRIÁN BEN,ESP,"Gallur, Madrid (ESP) (i)",800m,23 FEB 2024,1209
1:45.72,AARON KEMEI CHEMININGWA,KEN,"University of Ghana Sports Stadium, Accra (GHA)",800m,20 MAR 2024,1152
1:45.72,MACIEJ WYDERKA,POL,"Stadion MOSiR, Lublin (POL)",800m,30 MAY 2024,1152
1:45.72,EDMUND DU PLESSIS,RSA,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",800m,04 JUL 2024,1152
1:45.73,ALEX NGENO KIPNGETICH,KEN,"University of Ghana Sports Stadium, Accra (GHA)",800m,20 MAR 2024,1151
1:45.73,JOSH HOEY,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1151
1:45.74,RYAN CLARKE,NED,"Polideportivo Municipal, Andújar (ESP)",800m,17 MAY 2024,1151
1:45.74,ABDELLAH MOUZLIB,MAR,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",800m,22 MAY 2024,1151
1:45.74,MATTHEW ERICKSON,CAN,"Lincoln HS, Portland, OR (USA)",800m,09 JUN 2024,1151
1:45.74,RENIER DE VILLIERS,RSA,"Centro Sportivo Saletti, Nembro (ITA)",800m,19 JUN 2024,1151
1:45.74,SAM WHITMARSH,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1151
1:45.74,BEN PATTISON,GBR,"Manchester Regional Arena, Manchester (GBR)",800m,29 JUN 2024,1151
1:45.75,CILLIAN KIRWAN,IRL,"Mary Peters Track, Belfast (GBR)",800m,11 MAY 2024,1151
1:45.75,CLAYTON MURPHY,USA,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1151
1:45.76,TYRESE REID,JAM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",800m,30 MAR 2024,1150
1:45.76,DARIUS KIPYEGO,USA,"UMiami Cobb Stadium, Coral Gables, FL (USA)",800m,06 APR 2024,1150
1:45.76,PEYTON CRAIG,AUS,"SA Athletic Stadium, Adelaide (AUS)",800m,14 APR 2024,1150
1:45.76,FILIP OSTROWSKI,POL,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1150
1:45.76,SIMONE BARONTINI,ITA,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1150
1:45.76,TONY VAN DIEPEN,NED,"Paavo Nurmen Stadion, Turku (FIN)",800m,18 JUN 2024,1150
1:45.76,CLAYTON MURPHY,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1150
1:45.76,PETER BOL,AUS,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1150
1:45.77,PEYTON CRAIG,AUS,"AIS Athletics Track, Canberra (AUS)",800m,26 JAN 2024,1150
1:45.77,CASS ELLIOTT,USA,"Prince George's Sports and Learning Complex, Landover, MD (USA)",800m,04 JUN 2024,1150
1:45.77,GUY LEARMONTH,GBR,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1150
1:45.77,MOAD ZAHAFI,MAR,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",800m,16 JUN 2024,1150
1:45.78,KABELO SIMON MOHLOSI,RSA,"University of the Western Cape, Cape Town (RSA)",800m,29 APR 2024,1150
1:45.78,KOITATOI KIDALI,KEN,"Polideportivo Municipal, Andújar (ESP)",800m,17 MAY 2024,1150
1:45.78,TIBO DE SMET,BEL,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1150
1:45.79,GABRIEL TUAL,FRA,"Mestský Stadion, Ostrava (CZE)",800m,28 MAY 2024,1149
1:45.79,JESUS TONATIU LOPEZ,MEX,"Edwin Moses Track Morehouse College, B.T. Harvey Stadium, Atlanta, GA (USA)",800m,31 MAY 2024,1149
1:45.80,BRAD MATHAS,NZL,"TSV Stadion, Pfungstadt (GER)",800m,25 MAY 2024,1149
1:45.80,OLE JAKOB SOLBU,NOR,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1149
1:45.81,MARIANO GARCÍA,ESP,"Glasgow Arena, Glasgow (GBR) (i)",800m,01 MAR 2024,1206
1:45.81,EBRAHIM ALZOFAIRI,KUW,"Atletiekbaan Brakkenstein, Nijmegen (NED)",800m,18 MAY 2024,1149
1:45.81,CORENTIN LE CLEZIO,FRA,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1149
1:45.81,LABAN CHEPKWONY,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,22 MAY 2024,1149
1:45.81,BRANNON KIDDER,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1149
1:45.82,ALEX AMANKWA,GHA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1149
1:45.82,LEONARDO SANTOS,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",800m,15 MAY 2024,1149
1:45.82,KO OCHIAI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",800m,29 JUN 2024,1149
1:45.83,SEAN DOLAN,USA,"Villanova University, Villanova, PA (USA)",800m,11 MAY 2024,1148
1:45.84,RYNARD SWANEPOEL,RSA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",800m,19 APR 2024,1148
1:45.84,PIETER SISK,BEL,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",800m,11 MAY 2024,1148
1:45.84,SIMONE BARONTINI,ITA,"Campo Montagna, La Spezia (ITA)",800m,30 JUN 2024,1148
1:45.84,FINLEY MCLEAR,GBR,"Munster Technological University Track, Cork (IRL)",800m,09 JUL 2024,1148
1:45.85,WES FERGUSON,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",800m,12 APR 2024,1148
1:45.85,JAKUB DUDYCHA,CZE,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1148
1:45.85,MARK ENGLISH,IRL,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",800m,22 MAY 2024,1148
1:45.85,ANDREAS KRAMER,SWE,"Mestský Stadion, Ostrava (CZE)",800m,28 MAY 2024,1148
1:45.85,TYRICE TAYLOR,JAM,"Prince George's Sports and Learning Complex, Landover, MD (USA)",800m,04 JUN 2024,1148
1:45.85,BRAD MATHAS,NZL,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,28 JUN 2024,1148
1:45.86,LUKE BOYES,AUS,"ES Marks Athletics Field, Sydney (AUS)",800m,23 MAR 2024,1147
1:45.86,RIVALDO MARSHALL,JAM,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",800m,06 APR 2024,1147
1:45.86,ABEDIN MUJEZINOVIĆ,BIH,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1147
1:45.86,PEYTON CRAIG,AUS,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",800m,16 JUN 2024,1147
1:45.86,RENIER DE VILLIERS,RSA,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,28 JUN 2024,1147
1:45.87,PEYTON CRAIG,AUS,"ES Marks Athletics Field, Sydney (AUS)",800m,23 MAR 2024,1147
1:45.87,PETER BOL,AUS,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1147
1:45.87,FRANCESCO PERNICI,ITA,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1147
1:45.87,PIETER SISK,BEL,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1147
1:45.87,BENJAMIN ROBERT,FRA,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1147
1:45.87,JORDAN TERRASSE,FRA,"Stade Pierre Duboeuf, Bron (FRA)",800m,04 JUL 2024,1147
1:45.88,ÁLVARO DE ARRIBA,ESP,"Gallur, Madrid (ESP) (i)",800m,23 FEB 2024,1204
1:45.88,OUSSAMA CHERRAD,ALG,"Stade Omnisports Schlossberg, Forbach (FRA)",800m,26 MAY 2024,1147
1:45.88,BRAD MATHAS,NZL,"Stade Adolphe Cheron, St-Maur (FRA)",800m,26 JUN 2024,1147
1:45.89,JAMES PRESTON,NZL,"Hawke's Bay Sports Park, Hastings (NZL)",800m,20 JAN 2024,1146
1:45.89,KABELO SIMON MOHLOSI,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",800m,20 APR 2024,1146
1:45.89,ERIC HOLT,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",800m,01 JUN 2024,1146
1:45.89,SEAN DOLAN,USA,"Hayward Field, Eugene, OR (USA)",800m,07 JUN 2024,1146
1:45.89,JOHN RIVERA,PUR,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1146
1:45.89,PATRYK SIERADZKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1146
1:45.89,FRANCESCO PERNICI,ITA,"Campo Montagna, La Spezia (ITA)",800m,30 JUN 2024,1146
1:45.89,MOAD ZAHAFI,MAR,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,20 JUL 2024,1146
1:45.90,FITHAWI ZAID,ERI,"University of Ghana Sports Stadium, Accra (GHA)",800m,18 MAR 2024,1146
1:45.90,ELVIN JOSUÉ CANALES,HON,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1146
1:45.91,PEYTON CRAIG,AUS,"AIS Athletics Track, Canberra (AUS)",800m,02 MAR 2024,1146
1:45.91,SAMUEL CHAPPLE,NED,"Atletiekbaan Brakkenstein, Nijmegen (NED)",800m,18 MAY 2024,1146
1:45.91,ALEX BOTTERILL,GBR,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1146
1:45.91,AMEL TUKA,BIH,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1146
1:45.91,PETER BOL,AUS,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",800m,27 JUL 2024,1146
1:45.92,ANDREAS KRAMER,SWE,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1146
1:45.92,TUMO NKAPE,BOT,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",800m,22 MAY 2024,1146
1:45.92,ANICET KOZAR,FRA,"TSV Stadion, Pfungstadt (GER)",800m,19 JUN 2024,1146
1:45.92,MARIANO GARCÍA,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,30 JUN 2024,1146
1:45.92,ISAIAH HARRIS,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1146
1:45.93,BRAD MATHAS,NZL,"Polideportivo Municipal, Andújar (ESP)",800m,17 MAY 2024,1145
1:45.93,ZAKARY MAMA-YARI,CAN,"Alumni Stadium, Guelph (CAN)",800m,04 JUN 2024,1145
1:45.93,SAM ELLIS,USA,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1145
1:45.93,CALLUM DODDS,GBR,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1145
1:45.93,LOUEY OUERRAT,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1145
1:45.93,YOUSSEF BENZAMIA,FRA,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",800m,17 JUL 2024,1145
1:45.94,JOSH KERR,GBR,"Hayward Field, Eugene, OR (USA)",800m,20 APR 2024,1145
1:45.94,THOMAS RANDOLPH,GBR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1145
1:45.94,EDMUND DU PLESSIS,RSA,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1145
1:45.94,TAREES RHODEN,JAM,"National Stadium, Kingston (JAM)",800m,28 JUN 2024,1145
1:45.94,ABDELATI EL GUESSE,MAR,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",800m,04 JUL 2024,1145
1:45.94,CJ JONES,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",800m,12 JUL 2024,1145
1:45.95,ABDELATI EL GUESSE,MAR,"Pista Coberta de Catalunya, Sabadell (ESP) (i)",800m,27 JAN 2024,1202
1:45.95,TUMO NKAPE,BOT,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1145
1:45.96,ELIOTT CRESTAN,BEL,"Stadium Pierre-Quinon, Nantes (FRA) (i)",800m,27 JAN 2024,1202
1:45.96,MOAD ZAHAFI,MAR,"Hilmer Lodge Stadium, Walnut, CA (USA)",800m,20 APR 2024,1144
1:45.96,ABDELATI EL GUESSE,MAR,"Mestský Stadion, Ostrava (CZE)",800m,28 MAY 2024,1144
1:45.96,YOUSSEF BENZAMIA,FRA,"Centro Sportivo Saletti, Nembro (ITA)",800m,19 JUN 2024,1144
1:45.97,TAREES RHODEN,JAM,"Geroge C. Griffin Track, Atlanta, GA (USA)",800m,11 MAY 2024,1144
1:45.97,FILIP RAK,POL,"Stadion MOSiR, Olkusz (POL)",800m,11 MAY 2024,1144
1:45.97,COLLINS KIPRUTO,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1144
1:45.97,MEHDI YANOURI,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,20 JUL 2024,1144
